clip_id,lab_colors,rgb_colors,mean_lightness,mean_saturation
20250101_000056,"[[158.53289786494184, 128.71346219155072, 131.69417295904856], [10.348722979632186, 128.95453662750091, 126.70674126739823], [75.38949798364004, 128.08439895097246, 129.35145099891463], [129.3565718300283, 127.58446904645878, 126.03749690051093], [169.7980629246062, 128.39164811759102, 131.56006816550655]]","[[152, 149, 144], [12, 14, 18], [70, 69, 68], [117, 121, 124], [163, 161, 156]]",108.68515071656971,182.02802795357945
20250101_145958,"[[153.1466062016219, 129.14414747698868, 122.38471739572563], [79.5694121447521, 128.2598508173203, 127.58580503487225], [34.72632690905077, 128.67924043787076, 127.3911441483322], [111.75173029934331, 128.3834683354788, 126.96263256697009], [175.25623875788068, 128.62891930762356, 125.33971839375614]]","[[141, 144, 155], [72, 73, 74], [33, 34, 36], [101, 103, 106], [165, 168, 173]]",110.89006286252975,180.01239204793384
20250102_104424,"[[173.59932342049652, 128.25357556607474, 126.3047068445962], [101.95812377579313, 127.73521551366721, 128.26063804951528], [146.2633136591466, 127.95973800396271, 127.65231571472776], [81.72005864752934, 127.71755737346932, 127.83093367244771], [121.55869989852461, 127.73121454495714, 128.5623271986729]]","[[164, 165, 169], [91, 94, 93], [135, 138, 139], [72, 75, 76], [111, 113, 112]]",125.01990388029806,180.73900764690364
20250102_193004,"[[50.517447636852644, 129.14426730210135, 129.09415106861138], [183.8126267290175, 128.21160093376767, 132.45779484709774], [98.26387823791308, 130.4921393013494, 127.47378736700094], [135.87376431058317, 130.58013662907408, 131.3339666036779], [75.93743822492014, 129.3739550811455, 127.1760455606639]]","[[49, 47, 46], [179, 176, 169], [93, 90, 92], [132, 125, 121], [70, 69, 71]]",108.8810310278573,183.19730814362438
20250102_203403,"[[15.429224662329318, 129.6524040437249, 125.47428192942448], [126.79428818625206, 130.3035052723968, 134.37010705320108], [90.81808392607313, 130.45527330571446, 132.0375257423636], [167.90565632007636, 127.9531474771803, 135.83906204643338], [58.484157573787044, 131.01344799893843, 124.02830552960688]]","[[19, 19, 23], [125, 116, 107], [89, 82, 77], [163, 159, 146], [56, 53, 60]]",91.88628213370359,184.04727486259534
20250103_104211,"[[34.444839424244535, 127.75642537358216, 128.976055838481], [122.20490372711585, 128.12828922407013, 129.37023378233974], [80.06952151979024, 127.61749537315583, 129.4252008904676], [189.4221481857104, 127.89782762165449, 128.27588214166323], [147.64807723189477, 128.011719189106, 129.65103897758473]]","[[33, 35, 34], [114, 113, 112], [73, 74, 72], [180, 183, 182], [139, 138, 137]]",114.75789801775117,181.74453206060247
20250103_105148,"[[71.16005718449028, 128.38756086017983, 127.68738054412194], [137.77900637354134, 127.98016214819731, 127.8279127046758], [103.9313867276797, 128.156784979744, 128.34910280441022], [22.267657746730336, 128.95905731975324, 126.10082767243318], [168.92168775551073, 128.1082891519361, 127.86213102386786]]","[[65, 66, 67], [126, 129, 130], [95, 95, 95], [23, 25, 27], [159, 160, 162]]",100.81195915759046,180.93963324564095
20250103_121226,"[[33.520901910749316, 128.63339584344567, 129.2645479415791], [151.09611223159993, 130.14215862315487, 133.87294702956657], [92.31096737497772, 129.01881548327205, 131.20861006391527], [123.10647892834069, 130.38404880496094, 134.39496981420646], [64.82981150929021, 128.21077035296875, 129.2441189527286]]","[[34, 33, 32], [150, 141, 134], [89, 84, 80], [122, 113, 105], [60, 59, 58]]",92.97285439099159,184.47612338843888
20250103_144208,"[[79.51429551870672, 132.54833765757994, 129.40033944756271], [164.49865276912976, 132.6693497842189, 129.44589355652298], [40.56011396775037, 131.90859437935399, 128.2212336997187], [109.00346332651227, 133.36981389595869, 130.61055205652738], [142.62113599142154, 133.54404466693413, 132.26773999808606]]","[[80, 71, 71], [164, 153, 154], [43, 38, 39], [111, 98, 98], [145, 130, 127]]",107.23953231470412,185.8373143237585
20250103_221818,"[[57.312543406093624, 129.31546879994664, 127.81261467596552], [136.31589269812815, 126.61690282222148, 134.89360668231896], [115.34505054717741, 127.65587953915691, 134.1192396687658], [172.92890399409032, 126.47875290612814, 133.21452076622037], [87.30193542739772, 128.82420779755793, 129.95266252502154]]","[[54, 53, 55], [128, 128, 117], [109, 107, 97], [164, 165, 155], [81, 80, 79]]",113.84086521457743,183.7330381478133
20250104_224628,"[[146.16358768649758, 131.99726556046332, 139.32952220381472], [9.623567804057096, 129.76513551859873, 127.31417327485771], [87.67349383235424, 134.0147362223885, 138.41183008807636], [228.3221729350547, 122.96067898366277, 143.42460881220842], [46.95667086337902, 132.46022113787848, 137.3509560386717]]","[[150, 135, 119], [14, 12, 15], [95, 77, 65], [225, 227, 196], [54, 42, 31]]",103.74789862426853,189.22241705347392
20250104_225903,"[[47.07978790767791, 130.6663097545844, 137.5826493931321], [208.20195561740005, 126.37076379383934, 140.69447565351376], [16.177947576933178, 129.80030047881718, 129.74399388960973], [131.98032944763108, 131.08814215785276, 136.01751320481836], [82.9698892376487, 134.90058885366903, 139.11073267718191]]","[[52, 43, 32], [208, 203, 180], [22, 19, 18], [133, 120, 109], [91, 72, 59]]",97.28198195745819,189.013360444165
20250105_012732,"[[46.892419528691846, 132.37665010588293, 135.31801095514618], [238.4395640242424, 127.22197075104205, 131.91002208874377], [91.73396036052497, 130.79624818452024, 131.0436736157065], [14.631449124543664, 130.14151128522795, 127.51762471794898], [155.3569874442912, 130.86813157172986, 136.92289019056395]]","[[53, 42, 34], [236, 236, 230], [89, 83, 79], [21, 17, 20], [156, 145, 133]]",109.41087609645884,185.86403747055786
20250105_215719,"[[101.26491989234283, 146.601029976233, 157.02064621691125], [96.90930126193858, 132.65433908073533, 95.45774523203315], [28.390711098305502, 138.39183116582544, 137.4279725013749], [143.08243769628302, 150.1499680375951, 183.81917100110425], [177.30880619009028, 132.63402868317442, 133.47273397201243]]","[[132, 81, 46], [52, 89, 142], [45, 24, 17], [190, 118, 32], [181, 167, 161]]",109.39123522779205,199.76005534604903
20250106_164633,"[[58.09173529687442, 134.95075653777653, 135.98935459142163], [143.2203265382798, 129.04724007573148, 125.60485975181835], [98.97149132467737, 135.850250885395, 141.55957620309616], [173.66063267644884, 132.54814191298274, 126.94659239311845], [28.928246220642478, 133.94844190568804, 131.50074075314976]]","[[67, 51, 44], [134, 134, 140], [109, 86, 70], [171, 163, 169], [37, 27, 25]]",100.57448641138458,187.82194265561202
20250106_164702,"[[136.51650471209462, 138.98112119046198, 136.1558790727012], [16.86172763300722, 130.74046632801003, 130.24619009186196], [104.21781333307283, 132.77104012387088, 126.47607944982617], [56.19294564253895, 135.4187997054283, 139.82953253402943], [125.3807402633896, 132.44308382667046, 126.26266178599062]]","[[150, 121, 114], [24, 19, 16], [101, 94, 99], [68, 48, 36], [122, 114, 120]]",87.83394631682064,188.02328434908014
